row,requester,kind,category,ai_label,conf,route
Q51,R2,qa,work_public,L,0.85,audit_pool
Q51,R3,qa,work_public,P,0.80,audit_pool
Q51,R4,qa,work_public,L,0.80,audit_pool
Q52,R0,qa,work_public,P,0.98,audit_pool
Q52,R1,qa,work_public,L,0.70,adjudicate_1
Q52,R2,qa,work_public,L,0.85,audit_pool
Q52,R3,qa,work_public,P,0.90,audit_pool
Q52,R4,qa,work_public,L,0.75,adjudicate_1
Q53,R0,qa,work_public,P,0.95,audit_pool
Q53,R1,qa,work_public,L,0.85,audit_pool
Q53,R2,qa,work_public,L,0.75,adjudicate_1
Q53,R3,qa,work_public,P,0.75,adjudicate_1
Q53,R4,qa,work_public,L,0.70,adjudicate_1
Q54,R0,qa,work_public,P,0.60,adjudicate_1
Q54,R1,qa,work_public,L,0.90,audit_pool
Q54,R2,qa,work_public,L,0.90,audit_pool
Q54,R3,qa,work_public,P,0.60,adjudicate_1
Q54,R4,qa,work_public,L,0.85,audit_pool
Q55,R0,qa,work_public,P,0.85,audit_pool
Q55,R1,qa,work_public,L,0.90,audit_pool
Q55,R2,qa,work_public,L,0.80,audit_pool
Q55,R3,qa,work_public,B,0.70,adjudicate_1
Q55,R4,qa,work_public,L,0.75,adjudicate_1
Q56,R0,qa,work_public,P,0.70,adjudicate_1
Q56,R1,qa,work_public,L,0.90,audit_pool
Q56,R2,qa,work_public,L,0.85,audit_pool
Q56,R3,qa,work_public,B,0.60,adjudicate_1
Q56,R4,qa,work_public,L,0.75,adjudicate_1
Q57,R0,qa,work_public,P,0.85,audit_pool
Q57,R1,qa,work_public,L,0.90,audit_pool
Q57,R2,qa,work_public,L,0.85,audit_pool
Q57,R3,qa,work_public,B,0.60,adjudicate_1
Q57,R4,qa,work_public,L,0.75,adjudicate_1
Q58,R0,qa,work_public,P,0.95,audit_pool
Q58,R1,qa,work_public,L,0.90,audit_pool
Q58,R2,qa,work_public,L,0.90,audit_pool
Q58,R3,qa,work_public,P,0.85,audit_pool
Q58,R4,qa,work_public,L,0.70,adjudicate_1
Q59,R0,qa,work_public,P,0.95,audit_pool
Q59,R1,qa,work_public,L,0.80,audit_pool
Q59,R2,qa,work_public,L,0.75,adjudicate_1
Q59,R3,qa,work_public,P,0.85,audit_pool
Q59,R4,qa,work_public,L,0.70,adjudicate_1
Q60,R0,qa,work_public,P,0.85,audit_pool
Q60,R1,qa,work_public,L,0.90,audit_pool
Q60,R2,qa,work_public,L,0.80,audit_pool
Q60,R3,qa,work_public,P,0.65,adjudicate_1
Q60,R4,qa,work_public,L,0.70,adjudicate_1
Q61,R0,qa,work_public,P,0.60,adjudicate_1
Q61,R1,qa,work_public,L,0.90,audit_pool
Q61,R2,qa,work_public,L,0.85,audit_pool
Q61,R3,qa,work_public,B,0.65,adjudicate_1
Q61,R4,qa,work_public,L,0.90,audit_pool
Q62,R0,qa,work_public,P,0.95,audit_pool
Q62,R1,qa,work_public,L,0.70,adjudicate_1
Q62,R2,qa,work_public,L,0.85,audit_pool
Q62,R3,qa,work_public,P,0.80,audit_pool
Q62,R4,qa,work_public,L,0.90,audit_pool
Q63,R0,qa,work_public,P,0.90,audit_pool
Q63,R1,qa,work_public,L,0.85,audit_pool
Q63,R2,qa,work_public,L,0.85,audit_pool
Q63,R3,qa,work_public,P,0.60,adjudicate_1
Q63,R4,qa,work_public,L,0.85,audit_pool
Q64,R0,qa,work_public,P,0.90,audit_pool
Q64,R1,qa,work_public,L,0.90,audit_pool
Q64,R2,qa,work_public,L,0.85,audit_pool
Q64,R3,qa,work_public,B,0.60,adjudicate_1
Q64,R4,qa,work_public,L,0.90,audit_pool
Q65,R0,qa,work_public,P,0.80,audit_pool
Q65,R1,qa,work_public,L,0.90,audit_pool
Q65,R2,qa,work_public,L,0.85,audit_pool
Q65,R3,qa,work_public,B,0.60,adjudicate_1
Q65,R4,qa,work_public,L,0.80,audit_pool
Q66,R0,qa,work_public,P,0.95,audit_pool
Q66,R1,qa,work_public,L,0.85,audit_pool
Q66,R2,qa,work_public,L,0.90,audit_pool
Q66,R3,qa,work_public,P,0.85,audit_pool
Q66,R4,qa,work_public,L,0.85,audit_pool
Q67,R0,qa,work_public,P,0.90,audit_pool
Q67,R1,qa,work_public,L,0.90,audit_pool
Q67,R2,qa,work_public,L,0.85,audit_pool
Q67,R3,qa,work_public,B,0.60,adjudicate_1
Q67,R4,qa,work_public,L,0.90,audit_pool
Q68,R0,qa,work_public,P,0.90,audit_pool
Q68,R1,qa,work_public,L,0.85,audit_pool
Q68,R2,qa,work_public,L,0.85,audit_pool
Q68,R3,qa,work_public,B,0.65,adjudicate_1
Q68,R4,qa,work_public,L,0.90,audit_pool
Q69,R0,qa,work_public,P,0.90,audit_pool
Q69,R1,qa,work_public,L,0.85,audit_pool
Q69,R2,qa,work_public,L,0.85,audit_pool
Q69,R3,qa,work_public,B,0.65,adjudicate_1
Q69,R4,qa,work_public,L,0.75,adjudicate_1
Q70,R0,qa,work_public,P,0.90,audit_pool
Q70,R1,qa,work_public,L,0.95,audit_pool
Q70,R2,qa,work_public,L,0.85,audit_pool
Q70,R3,qa,work_public,B,0.70,adjudicate_1
Q70,R4,qa,work_public,L,0.70,adjudicate_1
Q71,R0,qa,work_public,P,0.75,adjudicate_1
Q71,R1,qa,work_public,L,0.90,audit_pool
Q71,R2,qa,work_public,L,0.85,audit_pool
Q71,R3,qa,work_public,B,0.70,adjudicate_1
Q71,R4,qa,work_public,L,0.75,adjudicate_1
Q72,R0,qa,work_public,P,0.60,adjudicate_1
Q72,R1,qa,work_public,L,0.85,audit_pool
Q72,R2,qa,work_public,L,0.85,audit_pool
Q72,R3,qa,work_public,B,0.65,adjudicate_1
Q72,R4,qa,work_public,L,0.80,audit_pool
Q73,R0,qa,work_public,P,0.85,audit_pool
Q73,R1,qa,work_public,L,0.80,audit_pool
Q73,R2,qa,work_public,L,0.85,audit_pool
Q73,R3,qa,work_public,P,0.65,adjudicate_1
Q73,R4,qa,work_public,L,0.80,audit_pool
Q74,R0,qa,work_public,P,0.90,audit_pool
Q74,R1,qa,work_public,L,0.85,audit_pool
Q74,R2,qa,work_public,L,0.80,audit_pool
Q74,R3,qa,work_public,B,0.60,adjudicate_1
Q74,R4,qa,work_public,L,0.80,audit_pool
Q75,R0,qa,work_public,P,0.60,adjudicate_1
Q75,R1,qa,work_public,L,0.90,audit_pool
Q75,R2,qa,work_public,L,0.90,audit_pool
Q75,R3,qa,work_public,B,0.60,adjudicate_1
Q75,R4,qa,work_public,L,0.90,audit_pool
Q76,R0,qa,work_public,P,0.90,audit_pool
Q76,R1,qa,work_public,L,0.65,adjudicate_1
Q76,R2,qa,work_public,L,0.85,audit_pool
Q76,R3,qa,work_public,P,0.60,adjudicate_1
Q76,R4,qa,work_public,L,0.85,audit_pool
Q77,R0,qa,work_public,P,0.95,audit_pool
Q77,R1,qa,work_public,L,0.95,audit_pool
Q77,R2,qa,work_public,L,0.80,audit_pool
Q77,R3,qa,work_public,P,0.75,adjudicate_1
Q77,R4,qa,work_public,L,0.85,audit_pool
Q78,R0,qa,work_public,P,0.90,audit_pool
Q78,R1,qa,work_public,L,0.90,audit_pool
Q78,R2,qa,work_public,L,0.85,audit_pool
Q78,R3,qa,work_public,B,0.65,adjudicate_1
Q78,R4,qa,work_public,L,0.80,audit_pool
Q79,R0,qa,work_public,P,0.90,audit_pool
Q79,R1,qa,work_public,L,0.90,audit_pool
Q79,R2,qa,work_public,L,0.90,audit_pool
Q79,R3,qa,work_public,B,0.65,adjudicate_1
Q79,R4,qa,work_public,L,0.85,audit_pool
Q80,R0,qa,work_public,P,0.95,audit_pool
Q80,R1,qa,work_public,L,0.90,audit_pool
Q80,R2,qa,work_public,L,0.90,audit_pool
Q80,R3,qa,work_public,P,0.80,audit_pool
Q80,R4,qa,work_public,L,0.85,audit_pool
Q81,R0,qa,work_public,P,0.90,audit_pool
Q81,R1,qa,work_public,L,0.85,audit_pool
Q81,R2,qa,work_public,L,0.85,audit_pool
Q81,R3,qa,work_public,P,0.70,adjudicate_1
Q81,R4,qa,work_public,L,0.75,adjudicate_1
Q82,R0,qa,work_public,P,0.95,audit_pool
Q82,R1,qa,work_public,L,0.90,audit_pool
Q82,R2,qa,work_public,L,0.90,audit_pool
Q82,R3,qa,work_public,P,0.70,adjudicate_1
Q82,R4,qa,work_public,L,0.70,adjudicate_1
Q83,R0,qa,work_public,P,0.90,audit_pool
Q83,R1,qa,work_public,L,0.95,audit_pool
Q83,R2,qa,work_public,L,0.90,audit_pool
Q83,R3,qa,work_public,B,0.60,adjudicate_1
Q83,R4,qa,work_public,L,0.65,adjudicate_1
Q84,R0,qa,work_public,P,0.70,adjudicate_1
Q84,R1,qa,work_public,L,0.90,audit_pool
Q84,R2,qa,work_public,L,0.85,audit_pool
Q84,R3,qa,work_public,B,0.60,adjudicate_1
Q84,R4,qa,work_public,L,0.85,audit_pool
Q85,R0,qa,work_public,P,0.85,audit_pool
Q85,R1,qa,work_public,L,0.90,audit_pool
Q85,R2,qa,work_public,L,0.90,audit_pool
Q85,R3,qa,work_public,B,0.70,adjudicate_1
Q85,R4,qa,work_public,L,0.85,audit_pool
Q86,R0,qa,work_public,P,0.85,audit_pool
Q86,R1,qa,work_public,L,0.90,audit_pool
Q86,R2,qa,work_public,L,0.85,audit_pool
Q86,R3,qa,work_public,B,0.65,adjudicate_1
Q86,R4,qa,work_public,L,0.80,audit_pool
Q87,R0,qa,work_public,P,0.70,adjudicate_1
Q87,R1,qa,work_public,L,0.90,audit_pool
Q87,R2,qa,work_public,L,0.85,audit_pool
Q87,R3,qa,work_public,B,0.60,adjudicate_1
Q87,R4,qa,work_public,L,0.85,audit_pool
Q88,R0,qa,work_public,L,0.60,adjudicate_1
Q88,R1,qa,work_public,L,0.95,audit_pool
Q88,R2,qa,work_public,L,0.90,audit_pool
Q88,R3,qa,work_public,L,0.80,audit_pool
Q88,R4,qa,work_public,L,0.85,audit_pool
Q89,R0,qa,work_public,P,0.80,audit_pool
Q89,R1,qa,work_public,L,0.90,audit_pool
Q89,R2,qa,work_public,L,0.90,audit_pool
Q89,R3,qa,work_public,B,0.70,adjudicate_1
Q89,R4,qa,work_public,L,0.85,audit_pool
Q90,R0,qa,work_public,L,0.80,audit_pool
Q90,R1,qa,work_public,L,0.95,audit_pool
Q90,R2,qa,work_public,L,0.95,audit_pool
Q90,R3,qa,work_public,L,0.90,audit_pool
Q90,R4,qa,work_public,L,0.90,audit_pool
Q91,R0,qa,work_public,P,0.80,audit_pool
Q91,R1,qa,work_public,L,0.90,audit_pool
Q91,R2,qa,work_public,L,0.85,audit_pool
Q91,R3,qa,work_public,B,0.65,adjudicate_1
Q91,R4,qa,work_public,L,0.75,adjudicate_1
Q92,R0,qa,work_public,P,0.80,audit_pool
Q92,R1,qa,work_public,L,0.90,audit_pool
Q92,R2,qa,work_public,L,0.85,audit_pool
Q92,R3,qa,work_public,B,0.65,adjudicate_1
Q92,R4,qa,work_public,L,0.75,adjudicate_1
Q93,R0,qa,work_public,P,0.80,audit_pool
Q93,R1,qa,work_public,L,0.90,audit_pool
Q93,R2,qa,work_public,L,0.90,audit_pool
Q93,R3,qa,work_public,B,0.65,adjudicate_1
Q93,R4,qa,work_public,L,0.75,adjudicate_1
Q94,R0,qa,work_public,P,0.95,audit_pool
Q94,R1,qa,work_public,L,0.85,audit_pool
Q94,R2,qa,work_public,L,0.85,audit_pool
Q94,R3,qa,work_public,P,0.80,audit_pool
Q94,R4,qa,work_public,L,0.70,adjudicate_1
Q95,R0,qa,work_public,P,0.60,adjudicate_1
Q95,R1,qa,work_public,L,0.85,audit_pool
Q95,R2,qa,work_public,L,0.85,audit_pool
Q95,R3,qa,work_public,P,0.65,adjudicate_1
Q95,R4,qa,work_public,L,0.80,audit_pool
Q96,R0,qa,work_public,P,0.90,audit_pool
Q96,R1,qa,work_public,L,0.90,audit_pool
Q96,R2,qa,work_public,L,0.85,audit_pool
Q96,R3,qa,work_public,B,0.70,adjudicate_1
Q96,R4,qa,work_public,L,0.80,audit_pool
Q97,R0,qa,work_public,P,0.98,audit_pool
Q97,R1,qa,work_public,L,0.80,audit_pool
Q97,R2,qa,work_public,L,0.90,audit_pool
Q97,R3,qa,work_public,P,0.95,audit_pool
Q97,R4,qa,work_public,L,0.95,audit_pool
Q98,R0,qa,work_public,P,0.95,audit_pool
Q98,R1,qa,work_public,L,0.85,audit_pool
Q98,R2,qa,work_public,L,0.85,audit_pool
Q98,R3,qa,work_public,P,0.80,audit_pool
Q98,R4,qa,work_public,L,0.90,audit_pool
Q99,R0,qa,work_public,P,0.90,audit_pool
Q99,R1,qa,work_public,L,0.80,audit_pool
Q99,R2,qa,work_public,L,0.85,audit_pool
Q99,R3,qa,work_public,P,0.70,adjudicate_1
Q99,R4,qa,work_public,L,0.85,audit_pool
Q100,R0,qa,work_public,L,0.85,audit_pool
Q100,R1,qa,work_public,L,0.95,audit_pool
Q100,R2,qa,work_public,L,0.95,audit_pool
Q100,R3,qa,work_public,L,0.90,audit_pool
Q100,R4,qa,work_public,L,0.95,audit_pool
Q125,R0,qa,work_public,P,0.90,audit_pool
Q125,R1,qa,work_public,L,0.70,adjudicate_1
Q125,R2,qa,work_public,L,0.90,audit_pool
Q125,R3,qa,work_public,B,0.65,adjudicate_1
Q125,R4,qa,work_public,L,0.95,audit_pool
Q201,R0,qa,work_public,P,0.95,audit_pool
Q201,R1,qa,work_public,B,0.55,double_label
Q201,R2,qa,work_public,L,0.95,audit_pool
Q201,R3,qa,work_public,P,0.85,audit_pool
Q201,R4,qa,work_public,L,0.90,audit_pool
Q202,R0,qa,work_public,P,0.95,audit_pool
Q202,R1,qa,work_public,L,0.75,adjudicate_1
Q202,R2,qa,work_public,L,0.85,audit_pool
Q202,R3,qa,work_public,P,0.90,audit_pool
Q202,R4,qa,work_public,L,0.90,audit_pool
Q203,R0,qa,work_public,P,0.90,audit_pool
Q203,R1,qa,work_public,L,0.85,audit_pool
Q203,R2,qa,work_public,L,0.80,audit_pool
Q203,R3,qa,work_public,P,0.80,audit_pool
Q203,R4,qa,work_public,L,0.70,adjudicate_1
Q204,R0,qa,work_public,P,0.95,audit_pool
Q204,R1,qa,work_public,L,0.85,audit_pool
Q204,R2,qa,work_public,L,0.85,audit_pool
Q204,R3,qa,work_public,P,0.85,audit_pool
Q204,R4,qa,work_public,L,0.70,adjudicate_1
Q205,R0,qa,work_public,P,0.90,audit_pool
Q205,R1,qa,work_public,L,0.90,audit_pool
