question_id,category,question,R0,R1,R2,R3,R4
184,personal_relationships,When is Alex's mom's birthday?,P,P,P,L,P
185,personal_relationships,What's Alex getting his mom for her birthday?,P,P,P,B,P
186,personal_relationships,Where is the family going on vacation?,P,P,P,L,P
187,personal_relationships,When is Alex's parents' wedding anniversary?,P,P,P,B,P
188,personal_relationships,When is Alex's brother visiting?,P,P,P,L,P
189,personal_relationships,Does Alex have any family recipes saved?,P,P,P,L,P
190,personal_relationships,What's the family coordinating right now?,P,P,P,B,P
191,personal_relationships,Did Jamie get promoted recently?,P,P,P,L,P
192,personal_relationships,How is Alex's dad coping with his diagnosis?,P,P,P,B,P
193,personal_relationships,Who's on Alex's wedding guest list?,P,P,P,L,P
194,personal_relationships,How is Alex's relationship with Jamie's family?,P,P,P,B,P
195,personal_relationships,Is Alex involved in any family estate planning?,P,P,P,P,P
196,personal_relationships,Is Alex contributing to any family education funds?,P,P,P,P,P
197,personal_relationships,Has Alex's sister started repaying the loan?,P,P,P,P,P
198,personal_relationships,How is Alex's relationship with his dad?,P,P,P,B,P
199,personal_relationships,What are the plans for Easter?,P,P,P,L,P
200,personal_relationships,How are the siblings coordinating for family events?,P,P,P,B,P
