row,requester,kind,votes_by_annotator,majority,tie
A143,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A144,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A145,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A145,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A146,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A146,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A148,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A148,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A149,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A15,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A150,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A16,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A16,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A17,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A17,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A18,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A19,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A2,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A20,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A20,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A22,R2,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A23,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A25,R1,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A26,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A28,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A28,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,EXECUTE,0
A29,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A29,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A3,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A30,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A30,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A31,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A31,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A32,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A33,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A33,R2,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A34,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A34,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A35,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A36,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A36,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A37,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A38,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A38,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A39,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A40,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A41,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A42,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A43,R2,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A44,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A46,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A46,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A47,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A48,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A49,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A5,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A50,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A6,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A7,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A7,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A9,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,EXECUTE,0
Q1,R0,qa,E:P;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q1,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q1,R3,qa,E:P;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q1,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q10,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q10,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q100,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q100,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q100,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q11,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q12,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q12,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q12,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q12,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q125,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q125,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q13,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q13,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q13,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q13,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q14,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q15,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q15,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q16,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q16,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q17,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q17,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q18,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q18,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q19,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q19,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q2,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q20,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q20,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q201,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q201,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q202,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q202,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q203,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q203,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q204,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q205,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q205,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q206,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q207,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q208,R0,qa,E:P;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q208,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q208,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q209,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q209,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q21,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q21,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q210,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q211,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q212,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q212,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q213,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q213,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q214,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:P,P,0
Q214,R2,qa,E:L;abhinav:L;chenyu:L;sara:P;trishit:L,L,0
Q214,R4,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q215,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q215,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q216,R0,qa,E:P;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q216,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q216,R3,qa,E:P;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q216,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q217,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q217,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q217,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q217,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q218,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q218,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q219,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q219,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q22,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q22,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q220,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q220,R3,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q220,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q221,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q221,R3,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q221,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q222,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q223,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q223,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q224,R0,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q224,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q224,R3,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q224,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q225,R1,qa,E:P;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q225,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q226,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q226,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q227,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q227,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q228,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q229,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q229,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q23,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q230,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q230,R3,qa,E:L;abhinav:P;chenyu:P;sara:P;trishit:P,P,0
Q230,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q231,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q231,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q231,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q231,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q232,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q232,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q233,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q233,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q233,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q234,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q235,R0,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q235,R3,qa,E:L;abhinav:P;chenyu:L;sara:P;trishit:P,P,0
Q235,R4,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:P,L,0
Q236,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q236,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q237,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q237,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q238,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q238,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q239,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q239,R4,qa,E:L;abhinav:L;chenyu:P;sara:L;trishit:P,L,0
Q24,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q240,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q240,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q241,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q242,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q242,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q243,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q243,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q244,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q245,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q245,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q246,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q246,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q247,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q247,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q248,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q248,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q249,R2,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
Q249,R4,qa,E:L;abhinav:P;chenyu:P;sara:L;trishit:P,P,0
Q25,R1,qa,E:L;abhinav:P;chenyu:L;sara:L;trishit:L,L,0
