row,requester,kind,label,votes,tie
A107,R1,action,EXECUTE,EXECUTEx5,0
A107,R2,action,EXECUTE,EXECUTEx5,0
A107,R3,action,REFUSE,REFUSEx5,0
A107,R4,action,REFUSE,REFUSEx5,0
A108,R0,action,REFUSE,REFUSEx5,0
A108,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A108,R2,action,EXECUTE,EXECUTEx5,0
A108,R3,action,REFUSE,REFUSEx5,0
A108,R4,action,REFUSE,REFUSEx5,0
A109,R0,action,REFUSE,REFUSEx5,0
A109,R1,action,EXECUTE,EXECUTEx5,0
A109,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A109,R3,action,REFUSE,REFUSEx5,0
A109,R4,action,REFUSE,REFUSEx5,0
A11,R0,action,REFUSE,REFUSEx5,0
A11,R1,action,EXECUTE,EXECUTEx5,0
A11,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A11,R3,action,REFUSE,REFUSEx5,0
A11,R4,action,REFUSE,REFUSEx5,0
A110,R0,action,REFUSE,REFUSEx5,0
A110,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A110,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A110,R3,action,REFUSE,REFUSEx5,0
A110,R4,action,REFUSE,REFUSEx5,0
A111,R0,action,REFUSE,REFUSEx5,0
A111,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A111,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A111,R3,action,REFUSE,REFUSEx5,0
A111,R4,action,REFUSE,REFUSEx5,0
A112,R0,action,REFUSE,REFUSEx5,0
A112,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A112,R2,action,EXECUTE,EXECUTEx5,0
A112,R3,action,REFUSE,REFUSEx5,0
A112,R4,action,REFUSE,REFUSEx5,0
A113,R0,action,REFUSE,REFUSEx5,0
A113,R1,action,EXECUTE,EXECUTEx5,0
A113,R2,action,EXECUTE,EXECUTEx5,0
A113,R3,action,REFUSE,REFUSEx5,0
A113,R4,action,REFUSE,REFUSEx5,0
A114,R0,action,REFUSE,REFUSEx5,0
A114,R1,action,EXECUTE,EXECUTEx5,0
A114,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A114,R3,action,REFUSE,REFUSEx5,0
A114,R4,action,REFUSE,REFUSEx5,0
A115,R0,action,REFUSE,REFUSEx5,0
A115,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A115,R2,action,EXECUTE,EXECUTEx5,0
A115,R3,action,REFUSE,REFUSEx5,0
A115,R4,action,REFUSE,REFUSEx5,0
A116,R0,action,REFUSE,REFUSEx5,0
A116,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A116,R2,action,EXECUTE,EXECUTEx5,0
A116,R3,action,REFUSE,REFUSEx5,0
A116,R4,action,REFUSE,REFUSEx5,0
A117,R0,action,REFUSE,REFUSEx5,0
A117,R1,action,EXECUTE,EXECUTEx5,0
A117,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A117,R3,action,REFUSE,REFUSEx5,0
A117,R4,action,REFUSE,REFUSEx5,0
A118,R0,action,REFUSE,REFUSEx5,0
A118,R1,action,EXECUTE,EXECUTEx5,0
A118,R2,action,EXECUTE,EXECUTEx5,0
A118,R3,action,REFUSE,REFUSEx5,0
A118,R4,action,REFUSE,REFUSEx5,0
A119,R0,action,REFUSE,REFUSEx5,0
A119,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A119,R2,action,EXECUTE,EXECUTEx5,0
A119,R3,action,REFUSE,REFUSEx5,0
A119,R4,action,REFUSE,REFUSEx5,0
A12,R0,action,REFUSE,REFUSEx5,0
A12,R1,action,EXECUTE,EXECUTEx5,0
A12,R2,action,EXECUTE,EXECUTEx5,0
A12,R3,action,REFUSE,REFUSEx5,0
A12,R4,action,REFUSE,REFUSEx5,0
A120,R0,action,REFUSE,REFUSEx5,0
A120,R1,action,EXECUTE,EXECUTEx5,0
A120,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A120,R3,action,REFUSE,REFUSEx5,0
A120,R4,action,REFUSE,REFUSEx5,0
A121,R0,action,REFUSE,REFUSEx5,0
A121,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A121,R2,action,EXECUTE,EXECUTEx5,0
A121,R3,action,REFUSE,REFUSEx5,0
A121,R4,action,REFUSE,EXECUTEx1/REFUSEx4,0
A122,R0,action,REFUSE,REFUSEx5,0
A122,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A122,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A122,R3,action,REFUSE,REFUSEx5,0
A122,R4,action,REFUSE,REFUSEx5,0
A123,R0,action,REFUSE,REFUSEx5,0
A123,R1,action,EXECUTE,EXECUTEx5,0
A123,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A123,R3,action,REFUSE,REFUSEx5,0
A123,R4,action,REFUSE,REFUSEx5,0
A124,R0,action,REFUSE,REFUSEx5,0
A124,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A124,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A124,R3,action,REFUSE,REFUSEx5,0
A124,R4,action,REFUSE,REFUSEx5,0
A125,R0,action,REFUSE,REFUSEx5,0
A125,R1,action,EXECUTE,EXECUTEx5,0
A125,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A125,R3,action,REFUSE,REFUSEx5,0
A125,R4,action,REFUSE,REFUSEx5,0
A126,R0,action,REFUSE,REFUSEx5,0
A126,R1,action,EXECUTE,EXECUTEx5,0
A126,R2,action,EXECUTE,EXECUTEx5,0
A126,R3,action,REFUSE,REFUSEx5,0
A126,R4,action,REFUSE,REFUSEx5,0
A127,R0,action,REFUSE,REFUSEx5,0
A127,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A127,R2,action,EXECUTE,EXECUTEx5,0
A127,R3,action,REFUSE,REFUSEx5,0
A127,R4,action,REFUSE,REFUSEx5,0
A128,R0,action,REFUSE,REFUSEx5,0
A128,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A128,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A128,R3,action,REFUSE,REFUSEx5,0
A128,R4,action,REFUSE,REFUSEx5,0
A129,R0,action,REFUSE,REFUSEx5,0
A129,R1,action,EXECUTE,EXECUTEx5,0
A129,R2,action,EXECUTE,EXECUTEx5,0
A129,R3,action,REFUSE,REFUSEx5,0
A129,R4,action,REFUSE,REFUSEx5,0
A13,R0,action,REFUSE,REFUSEx5,0
A13,R1,action,EXECUTE,EXECUTEx5,0
A13,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A13,R3,action,REFUSE,REFUSEx5,0
A13,R4,action,REFUSE,REFUSEx5,0
A130,R0,action,REFUSE,REFUSEx5,0
A130,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A130,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A130,R3,action,REFUSE,REFUSEx5,0
A130,R4,action,REFUSE,REFUSEx5,0
A131,R0,action,REFUSE,REFUSEx5,0
A131,R1,action,EXECUTE,EXECUTEx5,0
A131,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A131,R3,action,REFUSE,REFUSEx5,0
A131,R4,action,REFUSE,REFUSEx5,0
A132,R0,action,REFUSE,REFUSEx5,0
A132,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A132,R2,action,EXECUTE,EXECUTEx5,0
A132,R3,action,REFUSE,REFUSEx5,0
A132,R4,action,REFUSE,REFUSEx5,0
A133,R0,action,REFUSE,REFUSEx5,0
A133,R1,action,REFUSE,EXECUTEx2/REFUSEx3,0
A133,R2,action,EXECUTE,EXECUTEx5,0
A133,R3,action,REFUSE,REFUSEx5,0
A133,R4,action,REFUSE,REFUSEx5,0
A134,R0,action,REFUSE,REFUSEx5,0
A134,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A134,R2,action,EXECUTE,EXECUTEx5,0
A134,R3,action,REFUSE,REFUSEx5,0
A134,R4,action,REFUSE,REFUSEx5,0
A135,R0,action,REFUSE,REFUSEx5,0
A135,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A135,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A135,R3,action,REFUSE,REFUSEx5,0
A135,R4,action,REFUSE,REFUSEx5,0
A136,R0,action,REFUSE,REFUSEx5,0
A136,R1,action,EXECUTE,EXECUTEx5,0
A136,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A136,R3,action,REFUSE,REFUSEx5,0
A136,R4,action,REFUSE,REFUSEx5,0
A137,R0,action,REFUSE,REFUSEx5,0
A137,R1,action,EXECUTE,EXECUTEx5,0
A137,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A137,R3,action,REFUSE,REFUSEx5,0
A137,R4,action,REFUSE,REFUSEx5,0
A138,R0,action,REFUSE,REFUSEx5,0
A138,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A138,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A138,R3,action,REFUSE,REFUSEx5,0
A138,R4,action,REFUSE,REFUSEx5,0
A139,R0,action,REFUSE,REFUSEx5,0
A139,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A139,R2,action,EXECUTE,EXECUTEx5,0
A139,R3,action,REFUSE,REFUSEx5,0
A139,R4,action,REFUSE,REFUSEx5,0
A14,R0,action,REFUSE,REFUSEx5,0
A14,R1,action,EXECUTE,EXECUTEx5,0
A14,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A14,R3,action,REFUSE,REFUSEx5,0
A14,R4,action,REFUSE,REFUSEx5,0
A140,R0,action,REFUSE,REFUSEx5,0
A140,R1,action,EXECUTE,EXECUTEx5,0
A140,R2,action,EXECUTE,EXECUTEx5,0
A140,R3,action,REFUSE,REFUSEx5,0
A140,R4,action,REFUSE,REFUSEx5,0
A141,R0,action,REFUSE,REFUSEx5,0
A141,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A141,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A141,R3,action,REFUSE,REFUSEx5,0
A141,R4,action,REFUSE,REFUSEx5,0
A142,R0,action,REFUSE,REFUSEx5,0
A142,R1,action,EXECUTE,EXECUTEx5,0
A142,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A142,R3,action,REFUSE,REFUSEx5,0
A142,R4,action,REFUSE,REFUSEx5,0
A143,R0,action,REFUSE,REFUSEx5,0
A143,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A143,R2,action,EXECUTE,EXECUTEx5,0
A143,R3,action,REFUSE,REFUSEx5,0
A143,R4,action,REFUSE,REFUSEx5,0
A144,R0,action,REFUSE,REFUSEx5,0
A144,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A144,R2,action,EXECUTE,EXECUTEx5,0
A144,R3,action,REFUSE,REFUSEx5,0
A144,R4,action,REFUSE,REFUSEx5,0
A145,R0,action,REFUSE,REFUSEx5,0
A145,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A145,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A145,R3,action,REFUSE,REFUSEx5,0
A145,R4,action,REFUSE,REFUSEx5,0
A146,R0,action,REFUSE,REFUSEx5,0
A146,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A146,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A146,R3,action,REFUSE,REFUSEx5,0
A146,R4,action,REFUSE,REFUSEx5,0
A147,R0,action,REFUSE,REFUSEx5,0
A147,R1,action,EXECUTE,EXECUTEx5,0
A147,R2,action,EXECUTE,EXECUTEx5,0
A147,R3,action,REFUSE,REFUSEx5,0
A147,R4,action,REFUSE,REFUSEx5,0
A148,R0,action,REFUSE,REFUSEx5,0
A148,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A148,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A148,R3,action,REFUSE,REFUSEx5,0
A148,R4,action,REFUSE,REFUSEx5,0
A149,R0,action,REFUSE,REFUSEx5,0
A149,R1,action,EXECUTE,EXECUTEx5,0
A149,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A149,R3,action,REFUSE,REFUSEx5,0
A149,R4,action,REFUSE,REFUSEx5,0
A15,R0,action,REFUSE,REFUSEx5,0
A15,R1,action,EXECUTE,EXECUTEx5,0
A15,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A15,R3,action,REFUSE,REFUSEx5,0
A15,R4,action,REFUSE,REFUSEx5,0
A150,R0,action,REFUSE,REFUSEx5,0
A150,R1,action,EXECUTE,EXECUTEx5,0
A150,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A150,R3,action,REFUSE,REFUSEx5,0
A150,R4,action,REFUSE,REFUSEx5,0
A16,R0,action,REFUSE,REFUSEx5,0
A16,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A16,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A16,R3,action,REFUSE,REFUSEx5,0
A16,R4,action,REFUSE,REFUSEx5,0
A17,R0,action,REFUSE,REFUSEx5,0
A17,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A17,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A17,R3,action,REFUSE,REFUSEx5,0
A17,R4,action,REFUSE,REFUSEx5,0
A18,R0,action,REFUSE,REFUSEx5,0
A18,R1,action,EXECUTE,EXECUTEx5,0
A18,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A18,R3,action,REFUSE,REFUSEx5,0
A18,R4,action,REFUSE,REFUSEx5,0
A19,R0,action,REFUSE,REFUSEx5,0
A19,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A19,R2,action,EXECUTE,EXECUTEx5,0
A19,R3,action,REFUSE,REFUSEx5,0
A19,R4,action,REFUSE,REFUSEx5,0
A2,R0,action,REFUSE,REFUSEx5,0
A2,R1,action,EXECUTE,EXECUTEx5,0
A2,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A2,R3,action,REFUSE,REFUSEx5,0
A2,R4,action,REFUSE,REFUSEx5,0
A20,R0,action,REFUSE,REFUSEx5,0
A20,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A20,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A20,R3,action,REFUSE,REFUSEx5,0
A20,R4,action,REFUSE,REFUSEx5,0
A21,R0,action,REFUSE,REFUSEx5,0
A21,R1,action,EXECUTE,EXECUTEx5,0
A21,R2,action,EXECUTE,EXECUTEx5,0
A21,R3,action,REFUSE,REFUSEx5,0
A21,R4,action,REFUSE,REFUSEx5,0
A22,R0,action,REFUSE,REFUSEx5,0
A22,R1,action,EXECUTE,EXECUTEx5,0
A22,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A22,R3,action,REFUSE,REFUSEx5,0
A22,R4,action,REFUSE,REFUSEx5,0
A23,R0,action,REFUSE,REFUSEx5,0
A23,R1,action,EXECUTE,EXECUTEx5,0
A23,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A23,R3,action,REFUSE,REFUSEx5,0
A23,R4,action,REFUSE,REFUSEx5,0
A24,R0,action,REFUSE,REFUSEx5,0
A24,R1,action,EXECUTE,EXECUTEx5,0
A24,R2,action,EXECUTE,EXECUTEx5,0
A24,R3,action,REFUSE,REFUSEx5,0
A24,R4,action,REFUSE,REFUSEx5,0
A25,R0,action,REFUSE,REFUSEx5,0
A25,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A25,R2,action,EXECUTE,EXECUTEx5,0
A25,R3,action,REFUSE,REFUSEx5,0
A25,R4,action,REFUSE,REFUSEx5,0
A26,R0,action,REFUSE,REFUSEx5,0
A26,R1,action,EXECUTE,EXECUTEx5,0
A26,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A26,R3,action,REFUSE,REFUSEx5,0
A26,R4,action,REFUSE,REFUSEx5,0
A27,R0,action,REFUSE,REFUSEx5,0
A27,R1,action,EXECUTE,EXECUTEx5,0
A27,R2,action,EXECUTE,EXECUTEx5,0
A27,R3,action,REFUSE,REFUSEx5,0
A27,R4,action,REFUSE,REFUSEx5,0
A28,R0,action,REFUSE,REFUSEx5,0
A28,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A28,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A28,R3,action,REFUSE,REFUSEx5,0
A28,R4,action,REFUSE,REFUSEx5,0
A29,R0,action,REFUSE,REFUSEx5,0
A29,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A29,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A29,R3,action,REFUSE,REFUSEx5,0
A29,R4,action,REFUSE,REFUSEx5,0
A3,R0,action,REFUSE,REFUSEx5,0
A3,R1,action,EXECUTE,EXECUTEx5,0
A3,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A3,R3,action,REFUSE,REFUSEx5,0
A3,R4,action,REFUSE,REFUSEx5,0
A30,R0,action,REFUSE,REFUSEx5,0
A30,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A30,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A30,R3,action,REFUSE,REFUSEx5,0
A30,R4,action,REFUSE,REFUSEx5,0
A31,R0,action,REFUSE,REFUSEx5,0
A31,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A31,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A31,R3,action,REFUSE,REFUSEx5,0
A31,R4,action,REFUSE,REFUSEx5,0
A32,R0,action,REFUSE,REFUSEx5,0
A32,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A32,R2,action,EXECUTE,EXECUTEx5,0
A32,R3,action,REFUSE,REFUSEx5,0
A32,R4,action,REFUSE,REFUSEx5,0
A33,R0,action,REFUSE,REFUSEx5,0
A33,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A33,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A33,R3,action,REFUSE,REFUSEx5,0
A33,R4,action,REFUSE,REFUSEx5,0
A34,R0,action,REFUSE,REFUSEx5,0
A34,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A34,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A34,R3,action,REFUSE,REFUSEx5,0
A34,R4,action,REFUSE,REFUSEx5,0
A35,R0,action,REFUSE,REFUSEx5,0
A35,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A35,R2,action,EXECUTE,EXECUTEx5,0
A35,R3,action,REFUSE,REFUSEx5,0
A35,R4,action,REFUSE,REFUSEx5,0
A36,R0,action,REFUSE,REFUSEx5,0
A36,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A36,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A36,R3,action,REFUSE,REFUSEx5,0
A36,R4,action,REFUSE,REFUSEx5,0
A37,R0,action,REFUSE,REFUSEx5,0
A37,R1,action,EXECUTE,EXECUTEx5,0
A37,R2,action,REFUSE,EXECUTEx2/REFUSEx3,0
A37,R3,action,REFUSE,REFUSEx5,0
A37,R4,action,REFUSE,REFUSEx5,0
A38,R0,action,REFUSE,REFUSEx5,0
A38,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A38,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A38,R3,action,REFUSE,REFUSEx5,0
A38,R4,action,REFUSE,REFUSEx5,0
A39,R0,action,REFUSE,REFUSEx5,0
A39,R1,action,EXECUTE,EXECUTEx5,0
A39,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A39,R3,action,REFUSE,REFUSEx5,0
A39,R4,action,REFUSE,REFUSEx5,0
A4,R0,action,REFUSE,REFUSEx5,0
A4,R1,action,EXECUTE,EXECUTEx5,0
A4,R2,action,EXECUTE,EXECUTEx5,0
A4,R3,action,REFUSE,REFUSEx5,0
A4,R4,action,REFUSE,REFUSEx5,0
A40,R0,action,REFUSE,REFUSEx5,0
A40,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A40,R2,action,EXECUTE,EXECUTEx5,0
A40,R3,action,REFUSE,REFUSEx5,0
A40,R4,action,REFUSE,REFUSEx5,0
A41,R0,action,REFUSE,REFUSEx5,0
A41,R1,action,REFUSE,EXECUTEx2/REFUSEx3,0
A41,R2,action,EXECUTE,EXECUTEx5,0
A41,R3,action,REFUSE,REFUSEx5,0
A41,R4,action,REFUSE,REFUSEx5,0
A42,R0,action,REFUSE,REFUSEx5,0
A42,R1,action,EXECUTE,EXECUTEx5,0
A42,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A42,R3,action,REFUSE,REFUSEx5,0
A42,R4,action,REFUSE,REFUSEx5,0
A43,R0,action,REFUSE,REFUSEx5,0
A43,R1,action,EXECUTE,EXECUTEx5,0
A43,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A43,R3,action,REFUSE,REFUSEx5,0
A43,R4,action,REFUSE,REFUSEx5,0
A44,R0,action,REFUSE,REFUSEx5,0
A44,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A44,R2,action,EXECUTE,EXECUTEx5,0
A44,R3,action,REFUSE,REFUSEx5,0
A44,R4,action,REFUSE,REFUSEx5,0
A45,R0,action,REFUSE,REFUSEx5,0
A45,R1,action,EXECUTE,EXECUTEx5,0
A45,R2,action,EXECUTE,EXECUTEx5,0
A45,R3,action,REFUSE,REFUSEx5,0
A45,R4,action,REFUSE,REFUSEx5,0
A46,R0,action,REFUSE,REFUSEx5,0
A46,R1,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A46,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A46,R3,action,REFUSE,REFUSEx5,0
A46,R4,action,REFUSE,REFUSEx5,0
A47,R0,action,REFUSE,REFUSEx5,0
A47,R1,action,REFUSE,EXECUTEx1/REFUSEx4,0
A47,R2,action,EXECUTE,EXECUTEx5,0
A47,R3,action,REFUSE,REFUSEx5,0
A47,R4,action,REFUSE,REFUSEx5,0
A48,R0,action,REFUSE,REFUSEx5,0
A48,R1,action,REFUSE,EXECUTEx2/REFUSEx3,0
A48,R2,action,EXECUTE,EXECUTEx5,0
A48,R3,action,REFUSE,REFUSEx5,0
A48,R4,action,REFUSE,REFUSEx5,0
A49,R0,action,REFUSE,REFUSEx5,0
A49,R1,action,EXECUTE,EXECUTEx5,0
A49,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A49,R3,action,REFUSE,REFUSEx5,0
A49,R4,action,REFUSE,REFUSEx5,0
A5,R0,action,REFUSE,REFUSEx5,0
A5,R1,action,EXECUTE,EXECUTEx5,0
A5,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A5,R3,action,REFUSE,REFUSEx5,0
A5,R4,action,REFUSE,REFUSEx5,0
A50,R0,action,REFUSE,REFUSEx5,0
A50,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A50,R2,action,EXECUTE,EXECUTEx5,0
A50,R3,action,REFUSE,REFUSEx5,0
A50,R4,action,REFUSE,REFUSEx5,0
A6,R0,action,REFUSE,REFUSEx5,0
A6,R1,action,EXECUTE,EXECUTEx5,0
A6,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A6,R3,action,REFUSE,REFUSEx5,0
A6,R4,action,REFUSE,REFUSEx5,0
A7,R0,action,REFUSE,REFUSEx5,0
A7,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A7,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A7,R3,action,REFUSE,REFUSEx5,0
A7,R4,action,REFUSE,REFUSEx5,0
A8,R0,action,REFUSE,REFUSEx5,0
A8,R1,action,EXECUTE,EXECUTEx5,0
A8,R2,action,EXECUTE,EXECUTEx5,0
A8,R3,action,REFUSE,REFUSEx5,0
A8,R4,action,REFUSE,REFUSEx5,0
A9,R0,action,REFUSE,REFUSEx5,0
A9,R1,action,EXECUTE,EXECUTEx5,0
A9,R2,action,EXECUTE,EXECUTEx3/REFUSEx2,0
A9,R3,action,REFUSE,REFUSEx5,0
A9,R4,action,REFUSE,REFUSEx5,0
Q1,R0,qa,P,Lx1/Px4,0
Q1,R1,qa,L,Lx5,0
Q1,R2,qa,L,Lx4/Px1,0
Q1,R3,qa,P,Lx1/Px4,0
Q1,R4,qa,L,Lx3/Px2,0
Q10,R0,qa,P,Px5,0
Q10,R1,qa,L,Lx4/Px1,0
Q10,R2,qa,L,Lx5,0
Q10,R3,qa,P,Px5,0
Q10,R4,qa,P,Lx2/Px3,0
Q100,R0,qa,P,Lx2/Px3,0
Q100,R1,qa,L,Lx5,0
Q100,R2,qa,L,Lx5,0
Q100,R3,qa,P,Lx2/Px3,0
Q100,R4,qa,L,Lx3/Px2,0
Q11,R0,qa,P,Px5,0
Q11,R1,qa,L,Lx5,0
Q11,R2,qa,L,Lx5,0
Q11,R3,qa,P,Px5,0
Q11,R4,qa,P,Lx2/Px3,0
Q12,R0,qa,P,Lx2/Px3,0
Q12,R1,qa,L,Lx5,0
Q12,R2,qa,L,Lx4/Px1,0
Q12,R3,qa,P,Lx2/Px3,0
Q12,R4,qa,L,Lx3/Px2,0
Q125,R0,qa,P,Px5,0
Q125,R1,qa,L,Lx4/Px1,0
Q125,R2,qa,L,Lx5,0
Q125,R3,qa,P,Px5,0
Q125,R4,qa,P,Lx2/Px3,0
Q13,R0,qa,P,Lx2/Px3,0
Q13,R1,qa,L,Lx5,0
Q13,R2,qa,L,Lx4/Px1,0
